"well","datetime","condition","wavelength","value","timepoint","time"
"D...10",2026-03-12 16:09:52,"Bs+Pp","GFP100",662,"t0",0
"E...10",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",683,"t0",0
"F...10",2026-03-12 16:09:52,"Pp","GFP100",677,"t0",0
"G...10",2026-03-12 16:09:52,"Pp+Soil","GFP100",692,"t0",0
"H...10",2026-03-12 16:09:52,"M9","GFP100",653,"t0",0
"A...11",2026-03-12 16:09:52,"Bs","GFP100",645,"t0",0
"B...11",2026-03-12 16:09:52,"Bs+Soil","GFP100",647,"t0",0
"C...11",2026-03-12 16:09:52,"Soil","GFP100",653,"t0",0
"D...11",2026-03-12 16:09:52,"Bs+Pp","GFP100",660,"t0",0
"E...11",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",674,"t0",0
"F...11",2026-03-12 16:09:52,"Pp","GFP100",687,"t0",0
"G...11",2026-03-12 16:09:52,"Pp+Soil","GFP100",689,"t0",0
"H...11",2026-03-12 16:09:52,"M9","GFP100",661,"t0",0
"A...12",2026-03-12 16:09:52,"Bs","GFP100",636,"t0",0
"B...12",2026-03-12 16:09:52,"Bs+Soil","GFP100",661,"t0",0
"C...12",2026-03-12 16:09:52,"Soil","GFP100",648,"t0",0
"D...12",2026-03-12 16:09:52,"Bs+Pp","GFP100",653,"t0",0
"E...12",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",681,"t0",0
"F...12",2026-03-12 16:09:52,"Pp","GFP100",672,"t0",0
"G...12",2026-03-12 16:09:52,"Pp+Soil","GFP100",688,"t0",0
"H...12",2026-03-12 16:09:52,"M9","GFP100",648,"t0",0
"A...13",2026-03-12 16:09:52,"Bs","GFP100",641,"t0",0
"B...13",2026-03-12 16:09:52,"Bs+Soil","GFP100",644,"t0",0
"C...13",2026-03-12 16:09:52,"Soil","GFP100",652,"t0",0
"D...13",2026-03-12 16:09:52,"Bs+Pp","GFP100",647,"t0",0
"E...13",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",682,"t0",0
"F...13",2026-03-12 16:09:52,"Pp","GFP100",667,"t0",0
"G...13",2026-03-12 16:09:52,"Pp+Soil","GFP100",681,"t0",0
"H...13",2026-03-12 16:09:52,"M9","GFP100",636,"t0",0
"A...2",2026-03-12 16:09:52,"Bs","GFP80",129,"t0",0
"B...2",2026-03-12 16:09:52,"Bs+Soil","GFP80",132,"t0",0
"C...2",2026-03-12 16:09:52,"Soil","GFP80",131,"t0",0
"D...2",2026-03-12 16:09:52,"Bs+Pp","GFP80",132,"t0",0
"E...2",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",138,"t0",0
"F...2",2026-03-12 16:09:52,"Pp","GFP80",138,"t0",0
"G...2",2026-03-12 16:09:52,"Pp+Soil","GFP80",138,"t0",0
"H...2",2026-03-12 16:09:52,"M9","GFP80",128,"t0",0
"A...3",2026-03-12 16:09:52,"Bs","GFP80",134,"t0",0
"B...3",2026-03-12 16:09:52,"Bs+Soil","GFP80",132,"t0",0
"C...3",2026-03-12 16:09:52,"Soil","GFP80",132,"t0",0
"D...3",2026-03-12 16:09:52,"Bs+Pp","GFP80",136,"t0",0
"E...3",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",143,"t0",0
"F...3",2026-03-12 16:09:52,"Pp","GFP80",138,"t0",0
"G...3",2026-03-12 16:09:52,"Pp+Soil","GFP80",142,"t0",0
"H...3",2026-03-12 16:09:52,"M9","GFP80",133,"t0",0
"A...4",2026-03-12 16:09:52,"Bs","GFP80",133,"t0",0
"B...4",2026-03-12 16:09:52,"Bs+Soil","GFP80",134,"t0",0
"C...4",2026-03-12 16:09:52,"Soil","GFP80",135,"t0",0
"D...4",2026-03-12 16:09:52,"Bs+Pp","GFP80",133,"t0",0
"E...4",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",143,"t0",0
"F...4",2026-03-12 16:09:52,"Pp","GFP80",139,"t0",0
"G...4",2026-03-12 16:09:52,"Pp+Soil","GFP80",143,"t0",0
"H...4",2026-03-12 16:09:52,"M9","GFP80",132,"t0",0
"A...5",2026-03-12 16:09:52,"Bs","GFP80",131,"t0",0
"B...5",2026-03-12 16:09:52,"Bs+Soil","GFP80",134,"t0",0
"C...5",2026-03-12 16:09:52,"Soil","GFP80",137,"t0",0
"D...5",2026-03-12 16:09:52,"Bs+Pp","GFP80",135,"t0",0
"E...5",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",143,"t0",0
"F...5",2026-03-12 16:09:52,"Pp","GFP80",142,"t0",0
"G...5",2026-03-12 16:09:52,"Pp+Soil","GFP80",142,"t0",0
"H...5",2026-03-12 16:09:52,"M9","GFP80",136,"t0",0
"A...6",2026-03-12 16:09:52,"Bs","GFP80",134,"t0",0
"B...6",2026-03-12 16:09:52,"Bs+Soil","GFP80",134,"t0",0
"C...6",2026-03-12 16:09:52,"Soil","GFP80",133,"t0",0
"D...6",2026-03-12 16:09:52,"Bs+Pp","GFP80",138,"t0",0
"E...6",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP80",143,"t0",0
"F...6",2026-03-12 16:09:52,"Pp","GFP80",140,"t0",0
